"datetime_utc","wxtype","visibility","temperature","wind_speed","wind_direction","wind_gust","pressure","station_name","station_number","lat","lon","report_datetime_utc","datetime_local"
"31/07/2013 12:01:00","7","35000","18.1000003814697","8","225","","1011","EDINBURGH/GOGARBANK","3166","55.9280014038086","-3.34299993515015","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","60000","19.5","8","225","","1011","LEUCHARS","3171","56.3769989013672","-2.86199998855591","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","30000","16.6000003814697","8","157.699996948242","","1012","RONALDSWAY","3204","54.0848999023438","-4.63210010528564","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","25000","17","10","180","","1012","ST. BEES HEAD","3210","54.5180015563965","-3.61500000953674","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","40000","18.7000007629395","3","180","","1012","KESWICK","3212","54.6139984130859","-3.15700006484985","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","40000","17.2000007629395","9","202.5","","1012","WALNEY ISLAND","3214","54.125","-3.25699996948242","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","3","28000","18.7000007629395","","","","1012","CARLISLE","3220","54.9329986572266","-2.96300005912781","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","35000","17.1000003814697","9","247.5","","1012","SPADEADAM","3224","55.0499992370605","-2.55299997329712","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","21000","17.5","8","225","","1012","SHAP","3225","54.5009994506836","-2.68400001525879","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","","","","","","","","ALBEMARLE","3238","55.0200004577637","-1.87999999523163","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","40000","18.5","8","67.5","","1011","BOULMER","3240","55.4210014343262","-1.60000002384186","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","40000","19.2000007629395","8","225","","1013","LEEMING","3257","54.2960014343262","-1.52999997138977","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","26000","20.5","9","225","","1013","DISHFORTH AIRFIELD","3261","54.1339988708496","-1.41400003433228","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","3","45000","19.2999992370605","10","247.5","","1013","TOPCLIFFE","3265","54.2039985656738","-1.38999998569489","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","40000","19.1000003814697","10","225","","1013","LINTON ON OUSE","3266","54.0449981689453","-1.25","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","","","17.6000003814697","10","247.5","","","FYLINGDALES","3281","54.3619995117188","-0.672999978065491","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","","20.8999996185303","11","247.5","","1013","BRIDLINGTON MRSC","3292","54.0940017700195","-0.17399999499321","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","40000","18.2000007629395","10","135","","1011","VALLEY","3302","53.2519989013672","-4.53700017929077","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","35000","15.8000001907349","5","90","","1012","CAPEL CURIG SAWS","3305","53.0929985046387","-3.94099998474121","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","40000","16.7999992370605","5","112.5","","1012","RHYL","3313","53.2589988708496","-3.5090000629425","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","25000","16.8999996185303","7","157.699996948242","","1013","CROSBY","3316","53.4970016479492","-3.05599999427795","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","40000","16.1000003814697","9","157.699996948242","","1013","HAWARDEN","3321","53.173999786377","-2.98600006103516","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","10","11000","14.3999996185303","7","202.5","","1014","LEEK","3330","53.132999420166","-1.98300004005432","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","23000","14.6999998092651","8","202.5","","1013","BINGLEY SAMOS","3344","53.8110008239746","-1.86500000953674","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","14","2200","15.1000003814697","3","157.699996948242","","1014","WATNALL","3354","53.0050010681152","-1.25","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","10","22000","17.3999996185303","11","225","","1014","CHURCH FENTON","3355","53.8359985351563","-1.19700002670288","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","18000","16.2000007629395","11","225","","1014","SCAMPTON","3373","53.306999206543","-0.546000003814697","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","12","9000","15.3999996185303","10","202.5","","1015","WADDINGTON","3377","53.1749992370605","-0.521000027656555","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","25000","18.8999996185303","10","202.5","","1013","LECONFIELD SAR","3382","53.867000579834","-0.43299999833107","31/07/2013 11:00:00","31/07/2013 12:00:00"
